CANDIDATE,MEAN,STDEV,90% UPPER BOUND,90% LOWER BOUND,No. of Std. Dev.,,,,,,,,,,,
TRUMP,190.32905,15.04840024,237.9162699,142.7418301,3.16227766,,,,,,,,,,,
BIDEN,347.67095,33.83645898,454.6712283,240.6706717,3.16227766,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,evprob_inc,evprob_chal,evprob_3rd,total_ev,timestamp,simulations,Trump,Biden,Trump F*M-Squared,Biden F*M-Squared
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000025,,538,11/1/20 17:17,40000,0,538,0,155720872
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00015,,537,11/1/20 17:17,40000,0,3222,0,929124918
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0,,536,11/1/20 17:17,40000,0,0,0,0
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00005,,535,11/1/20 17:17,40000,0,1070,0,306260750
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000375,,534,11/1/20 17:17,40000,0,8010,0,2284099560
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00005,,533,11/1/20 17:17,40000,0,1066,0,302838874
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000025,,532,11/1/20 17:17,40000,0,532,0,150568768
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000025,,531,11/1/20 17:17,40000,0,531,0,149721291
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00015,,530,11/1/20 17:17,40000,0,3180,0,893262000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0,,529,11/1/20 17:17,40000,0,0,0,0
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0001,,528,11/1/20 17:17,40000,0,2112,0,588791808
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0001,,527,11/1/20 17:17,40000,0,2108,0,585452732
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000025,,526,11/1/20 17:17,40000,0,526,0,145531576
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000125,,525,11/1/20 17:17,40000,0,2625,0,723515625
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0001,,524,11/1/20 17:17,40000,0,2096,0,575511296
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0,,523,11/1/20 17:17,40000,0,0,0,0
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000075,,522,11/1/20 17:17,40000,0,1566,0,426709944
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000175,,521,11/1/20 17:17,40000,0,3647,0,989945327
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000075,,520,11/1/20 17:17,40000,0,1560,0,421824000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000075,,519,11/1/20 17:17,40000,0,1557,0,419395077
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000125,,518,11/1/20 17:17,40000,0,2590,0,694959160
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000025,,517,11/1/20 17:17,40000,0,517,0,138188413
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00015,,516,11/1/20 17:17,40000,0,3096,0,824328576
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000125,,515,11/1/20 17:17,40000,0,2575,0,682954375
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0001,,514,11/1/20 17:17,40000,0,2056,0,543186976
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0001,,513,11/1/20 17:17,40000,0,2052,0,540022788
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000025,,512,11/1/20 17:17,40000,0,512,0,134217728
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000075,,511,11/1/20 17:17,40000,0,1533,0,400298493
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000075,,510,11/1/20 17:17,40000,0,1530,0,397953000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000125,,509,11/1/20 17:17,40000,0,2545,0,659361145
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000025,,508,11/1/20 17:17,40000,0,508,0,131096512
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00015,,507,11/1/20 17:17,40000,0,3042,0,781943058
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000175,,506,11/1/20 17:17,40000,0,3542,0,906879512
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00005,,505,11/1/20 17:17,40000,0,1010,0,257575250
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00015,,504,11/1/20 17:17,40000,0,3024,0,768144384
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0001,,503,11/1/20 17:17,40000,0,2012,0,509054108
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00015,,502,11/1/20 17:17,40000,0,3012,0,759036048
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00015,,501,11/1/20 17:17,40000,0,3006,0,754509006
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00025,,500,11/1/20 17:17,40000,0,5000,0,1250000000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00005,,499,11/1/20 17:17,40000,0,998,0,248502998
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000125,,498,11/1/20 17:17,40000,0,2490,0,617529960
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000125,,497,11/1/20 17:17,40000,0,2485,0,613817365
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0001,,496,11/1/20 17:17,40000,0,1984,0,488095744
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000225,,495,11/1/20 17:17,40000,0,4455,0,1091586375
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000225,,494,11/1/20 17:17,40000,0,4446,0,1084984056
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000175,,493,11/1/20 17:17,40000,0,3451,0,838762099
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00015,,492,11/1/20 17:17,40000,0,2952,0,714572928
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0001,,491,11/1/20 17:17,40000,0,1964,0,473483084
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0002,,490,11/1/20 17:17,40000,0,3920,0,941192000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000225,,489,11/1/20 17:17,40000,0,4401,0,1052371521
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00015,,488,11/1/20 17:17,40000,0,2928,0,697285632
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000275,,487,11/1/20 17:17,40000,0,5357,0,1270514333
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000225,,486,11/1/20 17:17,40000,0,4374,0,1033121304
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00015,,485,11/1/20 17:17,40000,0,2910,0,684504750
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000325,,484,11/1/20 17:17,40000,0,6292,0,1473938752
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000225,,483,11/1/20 17:17,40000,0,4347,0,1014107283
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000325,,482,11/1/20 17:17,40000,0,6266,0,1455742184
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000475,,481,11/1/20 17:17,40000,0,9139,0,2114408179
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0005,,480,11/1/20 17:17,40000,0,9600,0,2211840000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000475,,479,11/1/20 17:17,40000,0,9101,0,2088142541
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0004,,478,11/1/20 17:17,40000,0,7648,0,1747445632
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000275,,477,11/1/20 17:17,40000,0,5247,0,1193844663
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000425,,476,11/1/20 17:17,40000,0,8092,0,1833452992
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.000375,,475,11/1/20 17:17,40000,475,7125,107171875,1607578125
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00045,,474,11/1/20 17:17,40000,0,8532,0,1916935632
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000425,,473,11/1/20 17:17,40000,0,8041,0,1799004889
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000425,,472,11/1/20 17:17,40000,0,8024,0,1787618816
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0004,,471,11/1/20 17:17,40000,0,7536,0,1671793776
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0006,,470,11/1/20 17:17,40000,0,11280,0,2491752000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000475,,469,11/1/20 17:17,40000,0,8911,0,1960072471
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00045,,468,11/1/20 17:17,40000,0,8424,0,1845058176
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0005,,467,11/1/20 17:17,40000,0,9340,0,2036951260
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0005,,466,11/1/20 17:17,40000,0,9320,0,2023893920
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000575,,465,11/1/20 17:17,40000,0,10695,0,2312526375
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0004,,464,11/1/20 17:17,40000,0,7424,0,1598357504
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00055,,463,11/1/20 17:17,40000,0,10186,0,2183562634
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000725,,462,11/1/20 17:17,40000,0,13398,0,2859722712
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000875,,461,11/1/20 17:17,40000,0,16135,0,3429026335
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000775,,460,11/1/20 17:17,40000,0,14260,0,3017416000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00095,,459,11/1/20 17:17,40000,0,17442,0,3674698002
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000875,,458,11/1/20 17:17,40000,0,16030,0,3362516920
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00055,,457,11/1/20 17:17,40000,0,10054,0,2099767846
2020,President,polls-plus,11/1/20,Trump,Biden,,0.000025,0.00095,,456,11/1/20 17:17,40000,456,17328,94818816,3603115008
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0011,,455,11/1/20 17:17,40000,0,20020,0,4144640500
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000525,,454,11/1/20 17:17,40000,0,9534,0,1965109944
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.001,,453,11/1/20 17:17,40000,0,18120,0,3718387080
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00165,,452,11/1/20 17:17,40000,0,29832,0,6094796928
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0005,,451,11/1/20 17:17,40000,0,9020,0,1834677020
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0014,,450,11/1/20 17:17,40000,0,25200,0,5103000000
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00185,,449,11/1/20 17:17,40000,0,33226,0,6698394826
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.0006,,448,11/1/20 17:17,40000,0,10752,0,2157969408
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.001075,,447,11/1/20 17:17,40000,0,19221,0,3840528789
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00155,,446,11/1/20 17:17,40000,0,27652,0,5500425232
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.000825,,445,11/1/20 17:17,40000,0,14685,0,2907997125
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00165,,444,11/1/20 17:17,40000,0,29304,0,5776873344
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.001475,,443,11/1/20 17:17,40000,0,26137,0,5129360113
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00125,,442,11/1/20 17:17,40000,0,22100,0,4317544400
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.00145,,441,11/1/20 17:17,40000,0,25578,0,4974435018
2020,President,polls-plus,11/1/20,Trump,Biden,,0,0.001675,,440,11/1/20 17:17,40000,0,29480,0,5707328000
